model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-206.9699249267578,0.0,600000,226.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.26080572605133057,8.879334400000001e-05,0.001234329720318783,72,0.004150369,-0.012553011998534203,0.058135986328125,0.05408811359666288,0.18820352,0.2
,-222.6156005859375,0.0,620000,223.7,,,,1.0872410476207732,,,,,,,,,,,,,,,,,
,,,622592,,,0.03,19,1.0410625636577606,1506,-227.8036651611328,,334.69,413,,,,,,,,,,,,
,-217.78030395507812,0.0,640000,227.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.2940252423286438,8.8170752e-05,0.0005667633740813471,76,0.004149311,-0.014884158968925476,0.06143951416015625,0.05369066505227238,0.18754816000000002,0.2
,,,655360,,,0.02,20,0.9595156490802765,1569,-237.09124755859375,,354.2,417,,,,,,,,,,,,
,-213.9287109375,0.0,660000,262.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.34469789266586304,8.754816000000001e-05,0.000863799883518368,80,0.0042504515,-0.01622048020362854,0.05327606201171875,0.046634364291094244,0.18689280000000003,0.2
,-228.2399139404297,0.0,680000,246.7,,,,1.0358405709266663,,,,,,,,,,,,,,,,,
,,,688128,,,0.02,21,0.8633989989757538,1667,-234.37379455566406,0.8633989989757538,352.07,412,,,,,,,,,,,,
,-211.7950897216797,0.0,700000,246.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.40323615074157715,8.6925568e-05,0.0008509607359883375,84,0.0038262494,-0.019467834383249283,0.054290771484375,0.04448200133629143,0.18623744,0.2
,-203.89443969726562,0.0,720000,262.3,,,,0.9559607386589051,,,,,,,,,,,,,,,,,
