time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
2.000000,407.313345,-0.005472,4982.118025,-0.093301,0.001583,0.181274,-5.767111,-0.002928,0.113771,-4.200942,0.003954,209.119313,-0.008559,0.028162,0.001976,54585.193868,-0.008559,0.028162,0.001976,54585.193868,208.097043,-0.003780,-20.674800,-5.673876,-0.001041,0.461341,-0.000166,-0.319265,0.561827,0.002982,0.675668,-12516.263756,-15.123093,-29113.230641,0.282390,-11772.748616,14.628248,122.425000,31.428669,0.000000,0.000000,-0.019431,-0.074327,-29.500000,0.657847,-0.060358,0.033149,-5.441560,0.299076,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.100000,428.123050,-0.005850,4980.050545,-0.331541,0.001966,0.192753,-6.187203,-0.003909,0.113998,-5.092307,0.005550,209.669386,-0.008519,-0.340456,0.003029,54585.304128,-0.008519,-0.340456,0.003029,54585.304128,208.579491,-0.002953,-21.391507,-5.855788,-0.000811,0.457931,-0.000181,-0.221379,0.565709,0.003163,0.772790,-12827.342776,-16.547919,-20187.176705,1.063708,-5407.061407,9.735158,122.425000,31.428857,0.000000,0.000000,-0.001330,-0.072611,-29.500000,0.805555,-0.057316,0.033273,-5.343405,0.424390,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.200000,448.980999,-0.006145,4977.911394,-0.632727,0.002188,0.204289,-6.696431,-0.005126,0.114550,-5.501699,0.006955,210.219952,-0.008217,-0.728796,0.004072,54585.557509,-0.008217,-0.728796,0.004072,54585.557509,209.050405,-0.002397,-22.207156,-6.063909,-0.000657,0.454129,-0.000184,-0.112173,0.570738,0.003358,0.880999,-13174.317729,-16.733775,-10228.856977,0.491296,557.995425,4.309787,122.425000,31.429045,0.000000,0.000000,0.020781,-0.070442,-29.500000,0.992290,-0.054348,0.033430,-5.219317,0.582814,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.300000,469.886039,-0.006385,4975.690678,-0.945662,0.002258,0.215906,-7.246599,-0.006458,0.114820,-5.459450,0.008056,210.770272,-0.007901,-1.083115,0.004993,54585.768049,-0.007901,-1.083115,0.004993,54585.768049,209.505851,-0.002197,-23.133185,-6.301218,-0.000601,0.450767,-0.000175,-0.008105,0.576907,0.003563,0.983900,-13481.088776,-15.966532,-739.118323,0.493200,5426.058707,-0.632887,122.425000,31.429233,0.000000,0.000000,0.043236,-0.068189,-29.500000,1.186311,-0.051854,0.033593,-5.090387,0.747418,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.400000,490.836624,-0.006604,4973.377360,-1.226712,0.002207,0.227561,-7.792544,-0.007776,0.115064,-5.048618,0.008822,211.320215,-0.007491,-1.364161,0.005733,54585.724946,-0.007491,-1.364161,0.005733,54585.724946,209.944253,-0.002383,-24.164581,-6.566167,-0.000650,0.448062,-0.000159,0.077950,0.583649,0.003776,1.068707,-13727.699698,-14.524230,7108.081415,-0.254504,8830.203448,-4.805932,122.425000,31.429422,0.000000,0.000000,0.063016,-0.066166,-29.500000,1.360561,-0.050056,0.033739,-4.974595,0.895250,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.500000,511.831050,-0.006843,4970.960902,-1.444047,0.002077,0.239233,-8.297407,-0.008962,0.114949,-4.380044,0.009244,211.870204,-0.007161,-1.547891,0.006242,54585.363147,-0.007161,-1.547891,0.006242,54585.363147,210.366480,-0.002928,-25.283484,-6.853712,-0.000797,0.446115,-0.000141,0.137539,0.590427,0.003991,1.127063,-13904.880850,-12.829351,12541.960294,-0.520732,10642.161158,-7.536078,122.425000,31.429611,0.000000,0.000000,0.077988,-0.064601,-29.500000,1.495309,-0.049035,0.033852,-4.885053,1.009569,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.600000,532.867698,-0.007135,4968.432553,-1.579188,0.001917,0.250870,-8.735413,-0.009922,0.114695,-3.574278,0.009381,212.421372,-0.006861,-1.625398,0.006526,54584.603755,-0.006861,-1.625398,0.006526,54584.603755,210.775810,-0.003758,-26.463674,-7.156562,-0.001022,0.444936,-0.000123,0.166756,0.596808,0.004205,1.155147,-14011.657245,-11.216597,15206.234966,-1.106278,10904.737247,-8.762867,122.425000,31.429800,0.000000,0.000000,0.086978,-0.063628,-29.500000,1.579096,-0.048771,0.033922,-4.829375,1.080653,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.700000,553.945279,-0.007511,4965.786186,-1.626714,0.001771,0.262444,-9.092843,-0.010593,0.114167,-2.748631,0.009312,212.975394,-0.006685,-1.601660,0.006610,54583.501598,-0.006685,-1.601660,0.006610,54583.501598,211.177317,-0.004765,-27.675122,-7.466423,-0.001293,0.444462,-0.000110,0.165907,0.602497,0.004413,1.153330,-14053.762226,-10.012561,15128.766674,-1.257488,9789.999564,-8.347704,122.425000,31.429990,0.000000,0.000000,0.089717,-0.063286,-29.500000,1.608563,-0.049170,0.033947,-4.809794,1.105652,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.800000,575.063011,-0.007988,4963.018674,-1.592797,0.001676,0.273918,-9.367709,-0.010953,0.113568,-2.007386,0.009147,213.534092,-0.006578,-1.493366,0.006556,54582.139666,-0.006578,-1.493366,0.006556,54582.139666,211.576868,-0.005822,-28.888148,-7.775151,-0.001577,0.444568,-0.000103,0.138892,0.607338,0.004614,1.125545,-14042.751969,-9.398051,12665.320598,-1.551302,7579.352176,-6.654508,122.425000,31.430180,0.000000,0.000000,0.086728,-0.063530,-29.500000,1.587534,-0.050090,0.033929,-4.823768,1.087811,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.900000,596.220697,-0.008570,4960.129859,-1.492930,0.001656,0.285286,-9.568451,-0.011018,0.112844,-1.433519,0.008982,214.098973,-0.006578,-1.325900,0.006428,54580.661985,-0.006578,-1.325900,0.006428,54580.661985,211.980025,-0.006803,-30.076929,-8.075705,-0.001839,0.445073,-0.000104,0.092384,0.611299,0.004806,1.078460,-13995.229322,-9.481890,8424.354382,-1.514712,4649.431742,-4.005009,122.425000,31.430371,0.000000,0.000000,0.079166,-0.064249,-29.500000,1.525617,-0.051353,0.033877,-4.864913,1.035281,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
